id,texto,texto_ed,etiqueta_final,etiqueta_etapa0
1867,"El hijo tuvo covid hace 15 dias, ella esta bien. La llamaron por la tablet pero no se la entregaron",hijo covid _digit_ llamaron tablet entregaron,NEGATIVO,R
1868,"Celular Ana Maria (esposa)
1131976494",celular ana esposa _digit_,NO RELEVANTE,NR
1869,"Requiere ayuda de un voluntario con asistencia física para ir los primeros días de julio, lunes o miércoles de 9.30 a 10.30 hs. para llevar el pedido de receta de pañales y a la semana siguiente retirar la receta, mismos días y horarios. La hija va a tratar de ayudarla para que pueda participar de clases con zoom del centro de día palabras mayores, para ver si logra animarla un poco, téngase en cuenta que la señora Graciana tiene deterioro neurológico y le cuesta comprender cosas hasta cotidianas.",requiere ayuda voluntario asistencia fisica julio lunes miercoles _digit_ _digit_ _digit_ _digit_ hs pedido receta panales semana retirar receta horarios hija tratar ayudarla participar clases zoom centro palabras mayores logra animarla tengase senora deterioro neurologico cuesta comprender cotidianas,NECESIDADES OPERATIVAS,NR
1870,Se derivó al LIC MALLONA ALICIA el proceso de apoyo Psicológico,derivo lic mallona alicia apoyo psicologico,NECESIDADES OPERATIVAS,NR
1871,"AM solicita caja de alimentos: 
Nombre y Apellido: Miriam De Grau
DNI: 11506194
Celular: 1554928110
Dirección: Venezuela 4429, Villa Martelli
No tiene nadie que pueda ir a buscar, ellos se cuidan mucho, necesitaría que se la envíen a domicilio.",am solicita caja alimentos nombre apellido grau dni _digit_ celular _digit_ direccion venezuela _digit_ villa martelli buscar cuidan necesitaria envien domicilio,NECESIDADES OPERATIVAS,NR
1872,esta bien,,POSITIVO,R
1873,31/7 a las 18.20 horas atendio el contestador automatico. volveré a llamar nuevamente.,_digit_ _digit_ _digit_ _digit_ atendio contestador automatico volvere llamar nuevamente,NO RELEVANTE,NR
1874,Sin novedad,novedad,NO RELEVANTE,NR
1875,Se entrega Alimentos en domicilio 7/8/20.,entrega alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
1876,"22/05/20 - Llamo como habíamos quedado con CRISTINA, esposa de AM, el día de ayer Cecilia de Gestión Social del Municipio de volvió a comunicar con ellos, el andador se lo pueden conseguir a través de PAMI, y están viendo el tema del COLCHÓN. Ambas necesidades las están gestionando para poder resolverlas. Al momento del llamado estaba tomando unos mates con CARLOS. Antes de realizar encuesta CRISTINA ya se despide, no coordinamos nuevo llamado pero llamaré en una semana VIERNES 29/05",_digit_ _digit_ _digit_ - llamo quedado esposa am gestion social municipio volvio comunicar andador pami viendo tema colchon ambas necesidades gestionando resolverlas llamado tomando mates carlos encuesta despide coordinamos llamado llamare semana viernes _digit_ _digit_,NECESIDADES OPERATIVAS,NR
1877,Sin novedad,novedad,NO RELEVANTE,NR
1878,"Llamo a AM a 4794-2583 , le doy información en cuanto a la asistencia que estamos brindando. Me indica que no requiere nada en estos momentos, ya que esta con su hija que vive en una casa adelante de la de ella y la ayuda. Me indica que esta interesada en cuanto a la Caja de alimentos. Le brindo informacion para que pueda ir a retirar los mismos a : 
 
Hipólito Yrigoyen 4848, Florida Oeste, de Lunes a Viernes, de 9 a 13hs. 

Libertad 3431, Florida Oeste, de Lunes a Viernes, de 8 a 12hs.

Agradece y finaliza la llamada.",llamo am _digit_-_digit_ doy informacion asistencia brindando indica requiere momentos hija vive casa ayuda indica interesada caja alimentos brindo informacion retirar yrigoyen _digit_ florida oeste lunes viernes _digit_ _digit_hs libertad _digit_ florida oeste lunes viernes _digit_ _digit_hs agradece finaliza llamada,NECESIDADES OPERATIVAS,NR
1879,"10/06/20 - 3er día intentando comunicarme con AM al 4762-5075, me atiende un hombre que no llega a identificarse, consulto por AM y me pide perdón pero él en ese momento está en una videoconferenca. Cuando después intento preguntar si es posible que lo llame más tarde u otro día, no me contesta. La llamada no se cortó, espero un ratito en línea pero nadie me responde del otro lado. Corto comunicación.",_digit_ _digit_ _digit_ - _digit_er intentando comunicarme am _digit_-_digit_ atiende hombre llega identificarse consulto am pide perdon videoconferenca preguntar posible llame contesta llamada corto espero ratito linea responde corto comunicacion,NO RELEVANTE,NR
1880,Se encuentra muy bien,,POSITIVO,R
1881,"Necesitaba medicación psiquiátrica para el nieto, se le pasa el tel de atención primaria y quería saber por la vacuna de la gripe",necesitaba medicacion psiquiatrica nieto pasa atencion primaria queria vacuna gripe,NECESIDADES OPERATIVAS,NR
1882,"todo bien, sin novedades",novedades,POSITIVO,R
1883,Sin novedad,novedad,NO RELEVANTE,NR
1884,DE ENTREGO ALIMENTOS EN DOMICILIO EL DIA 14/08/2020,entrego alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
1885,"Estaba acostada con presión alta, se sentía un poco mal. Iba a ver si llamaba un médico a domicilio.",acostada presion alta sentia iba llamaba medico domicilio,NEGATIVO,R
1886,"Animada hoy recibio a sus nietos asi que estara acompañada hasta el martes ,les cocina hacen juegos asi que sta feliz",animada recibio nietos acompanada martes cocina juegos sta feliz,POSITIVO,R
1887,HABLO CON HERMANA DE AM. AM ESTÁ EN UN TURNO MÉDICO (DE RUTINA). INFO LLAMAREMOS MAÑANA,hablo hermana am am turno medico rutina info llamaremos manana,NO RELEVANTE,NR
1888,"norma esta asistida bastante por su hija.. los llamados son mas esporadicos por que no es una persona que quiera interactuar mucho pero siempre le recuerdo que estoy para asistirla. ella esta muy bien de animo, un poco cansada",asistida hija llamados esporadicos persona quiera interactuar recuerdo asistirla animo cansada,NEGATIVO,R
1889,"Llamado para ver como estaba
Por el momento no tiene interes de participar en los cursos",llamado interes participar cursos,NO RELEVANTE,NR
1890,"Se encuentra bien, agradece el llamado
Saludos",agradece llamado saludos,POSITIVO,R
1891,se llamo a fiorella  a las  14:15  hs y a las 16:05 hs  y  en ambas oportunidades nadie atendió,llamo _digit_ _digit_ hs _digit_ _digit_ hs ambas oportunidades atendio,NO RELEVANTE,NR
1892,Esta muy contenta hoy!,contenta,POSITIVO,R
1893,No contesta el teléfono. Llamado por la mañana.,contesta telefono llamado manana,NO RELEVANTE,NR
1894,Ninguna,,NO RELEVANTE,NR
1895,"Josefina es una mujer preciosa, de voz dulce. Recibe con entusiasmo cada llamado, nos cuenta todas las actividades que realiza en cuarentena. Sigue con su taller de la memoria y pinta hermosos mandalas.",josefina mujer voz recibe entusiasmo llamado actividades realiza cuarentena taller memoria pinta hermosos mandalas,NEUTRAL,NR
1896,"Las llamadas con la señora María Concepción son fluidas, dado su carácter demandante pero muy certero y educado, fue a consulta con su médica de cabecera para control, vía celular de su nieto Gabriel se le envió  los ejercicios...es una señora q goza del beneficio del bono mensual y desde abril recibe la caja de alimentos la próxima le estaría correspondiendo 4/5/08 , se continuará con el vínculo",llamadas senora fluidas caracter demandante certero educado consulta medica cabecera control via celular nieto envio ejercicios senora goza beneficio mensual abril recibe caja alimentos proxima correspondiendo _digit_ _digit_ _digit_ continuara vinculo,NEUTRAL,NR
1897,Se entrega  Cuadernillo Estimulación Cognitiva I y II en domicilio 14/8/20.,entrega cuadernillo estimulacion cognitiva ii domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
1898,"Esta muy bien, aburrida, pero bien.",aburrida,POSITIVO,R
1899,La Señora Nélida Malatesta ya hoy se encontraba bien de salud.,senora malatesta encontraba salud,NEGATIVO,R
1900,"Está muy bien por suerte, hablamos y nos mandamos whatsapp, está muy agradecida con la Caja de alimentos.",suerte hablamos mandamos whatsapp agradecida caja alimentos,POSITIVO,R
1901,hablamos un monton. me cuenta todas las historias. Es un placer como siempre!!!!,hablamos monton historias placer,POSITIVO,R
1902,"esta acompañada por familiares que la asisten, agradecio el llamado pero no es necesario asistirla",acompanada familiares asisten agradecio llamado necesario asistirla,POSITIVO,R
1903,"Hablé con Haydee me dijo que estaba siempre ocupada con las tareas de la casa, las plantas y la cocina que le gusta cocinar, me contó que hacía plantines para regalarle a sus amigas...a veces se hace difícil la convesación porq es un poco sorda y no escucha bien pero tengo su gmail asique a veces hablamos por ahí.",hable ocupada tareas casa plantas cocina gusta cocinar conto plantines regalarle amigas dificil convesacion porq sorda escucha gmail asique hablamos,NEUTRAL,NR
1904,se encuentra bien. No tiene conectividad.,conectividad,POSITIVO,R
1905,Sin novedad,novedad,NO RELEVANTE,NR
1906,Me comuniqué a los telefonos de las fichas los dos dieron fuera de servicio.,comunique telefonos fichas servicio,NO RELEVANTE,NR
1907,lo llame para ver si se habían puesto en contacto por el remedio y la bolsa y me dijeron que no. Voy a esperar hasta el jueves y lo volveré a llamar,llame puesto contacto remedio bolsa esperar jueves volvere llamar,NECESIDADES OPERATIVAS,NR
1908,SE LO LLAMO A LAS 12:10 HS  Y SE LE DEJO EN EL CONTESTADOR,llamo _digit_ _digit_ hs contestador,NO RELEVANTE,NR
1909,"todo bien, sin necesidades",necesidades,POSITIVO,R
1910,Hablo con la Sra. que los asiste. Los abuelos estan perfectos. Son de origen Español y hay una hija viviendo en España por lo tanto se conectan por video llamada. Tienen tambien Direct TV. Le recorde el 147 y le di mi Whatsapp por si precisan algo. Volvere a llamar.,hablo asiste abuelos perfectos origen espanol hija viviendo espana conectan video llamada direct tv recorde _digit_ di whatsapp precisan volvere llamar,POSITIVO,R
1911,"Hoy hablé con Leticia, estaba muy contenta porque recibió varios llamados de personas queridas.",hable contenta recibio llamados personas queridas,POSITIVO,R
1912,"ESTA BIEN, NO NECESITA NADA.",necesita,POSITIVO,R
1913,"Esta estable, a la espera de que la psicologa se comunique con ella.",estable espera psicologa comunique,NEUTRAL,NR
1914,"Se llama a Arminda Ortiz para ver como sigue su estado de animo y se le avisa que tiene que llamar a uap llobera por vacuna de la gripe, ella por ahora no quiere salir por el frio .",llama arminda ortiz animo avisa llamar uap llobera vacuna gripe salir frio,NECESIDADES OPERATIVAS,NR
1915,se hablo con la sra  se le informa de la eximicion del abl y esta todo bien como siempre el sobrino le maneja todo,hablo informa eximicion abl sobrino maneja,POSITIVO,R
1916,Avisé de la entrega de alimentos,avise entrega alimentos,NECESIDADES OPERATIVAS,NR
1917,Le.entregue los artículos de limpieza .,entregue articulos limpieza,NECESIDADES OPERATIVAS,NR
1918,Ninguna.,,NO RELEVANTE,NR
1919,"Adelina se mantiene en contacto con su hija y amigos lo cual la mantiene bien de ánimo. 
También se siente acompañada por su esposo y se dedica a la cocina y a las tareas del hogar.
Por el momento no me dijeron que les gestionara un pedido.",mantiene contacto hija amigos mantiene animo siente acompanada esposo dedica cocina tareas hogar gestionara pedido,POSITIVO,R
1920,se encuentra muy animada me conto q esta feliz con el bolson,animada conto feliz bolson,POSITIVO,R
1921,-,-,NO RELEVANTE,NR
1922,Se entrego alimentos en domicilio el 08/07/2020,entrego alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
1923,12/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,_digit_ _digit_ _digit_ entrego alimentos domicilio,NECESIDADES OPERATIVAS,NR
1924,CAJA A DOMICILIO,caja domicilio,NECESIDADES OPERATIVAS,NR
1925,Sin novedad,novedad,NO RELEVANTE,NR
1926,"Se llamó para ver como están, me informan que el 26 va a ir un vecino a retirar los alimentos con la info que le comparti",llamo informan _digit_ vecino retirar alimentos info comparti,NECESIDADES OPERATIVAS,NR
1927,"Llamo a AM a 47211149, pero el numero da ocupado. Llamo a AM a numero alternativo 1568812812, pero sin respuesta alguna.",llamo am _digit_ numero ocupado llamo am numero alternativo _digit_ respuesta,NO RELEVANTE,NR
1928,El Sr. Esta tranquilo y paciente,sr tranquilo,POSITIVO,R
1929,"Su nieto ya se recuperó del COVID y le dieron el alta. Ella estaba un poco empachada porque había comido de más, pero se está cuidando ahora.",nieto recupero covid alta empachada comido cuidando,NEGATIVO,R
1930,Buen estado de animo,animo,POSITIVO,R
1931,"Hoy pude hablar por primera vez. Todo bien, en una semana lo llamo de nuevo.",pude hablar semana llamo,POSITIVO,R
1932,"Hablé con Graciela. Me comentó que la llamaron de la Municipalidad por la entrega de un tablet. Mandé mail para averiguar.
La hija está con problemas de presión.  Ella esta con dolores de varices",hable llamaron municipalidad entrega tablet mande mail averiguar hija problemas presion dolores varices,NEGATIVO,R
1933,Hablé nuevamente con la esposa de Osvaldo Sanchez. Me reiteró que estan los 3 junto a su hijo pasando la cuarentena. Que estan muy bien y que no necesitan ayuda.,hable nuevamente esposa osvaldo sanchez reitero _digit_ hijo pasando cuarentena necesitan ayuda,POSITIVO,R
1934,"Primer llamado, complete datos y encuesta.
Se escucha que la persona esta muy bien.
No quiso dejar celulares de sus hijos, argumentando que no atenderían (¿?)
Volvere a llamarla el lunes 3-agosto.",llamado complete datos encuesta escucha persona quiso dejar celulares hijos argumentando atenderian volvere llamarla lunes _digit_-agosto,POSITIVO,R
1935,La señora se encuentra bien. Esperando para darse la vacuna neumonía que está en falta.,senora esperando darse vacuna neumonia falta,POSITIVO,R
1936,Hable en el día de hoy con la mujer de Juan Andrada me dijo que al momento sigue sin necesitar ayuda alimentaria ni de salud ya que tiene asistencia de PAMI. Le pasé mi numero particular en caso de necesitar algo pero como en el otro llamado quedamos en comunicarnos nuevamente en 15 días.,hable mujer juan andrada necesitar ayuda alimentaria salud asistencia pami pase numero particular caso necesitar llamado quedamos comunicarnos nuevamente _digit_,NEUTRAL,NR
1937,SE ENTREGO ALIMENTOS EN DOMICILIO EL 03/07/2020,entrego alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
1938,Sin novedad,novedad,NO RELEVANTE,NR
1939,En un nuevo llamado a la Sra. Luisa Evelia Verón me dijo que esta bien de salud y estaba de buen humor,llamado luisa veron salud humor,POSITIVO,R
1940,"Se encuentra bien, tiene a su hijo para asistirla. No necesita nada. Comenta que está buscando atención con un traumatólogo por un dolor que tiene en el brazo a raíz de una cirugía que tuvo hace unos años en el Hospital Vte. Lopez.",hijo asistirla necesita comenta buscando atencion traumatologo dolor brazo raiz cirugia anos hospital vte lopez,NECESIDADES OPERATIVAS,NR
